

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
062.050  000.112  000.112: sourcing /home/arden/.config/nvim/Plugged/plantuml-syntax/ftdetect/plantuml.vim
062.170  000.073  000.073: sourcing /home/arden/.config/nvim/Plugged/vim-ps1/ftdetect/ps1.vim
062.209  000.024  000.024: sourcing /home/arden/.config/nvim/Plugged/vim-ps1/ftdetect/ps1xml.vim
062.264  000.039  000.039: sourcing /home/arden/.config/nvim/Plugged/vim-ps1/ftdetect/xml.vim
062.323  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vim-protobuf/ftdetect/proto.vim
062.395  000.039  000.039: sourcing /home/arden/.config/nvim/Plugged/vim-pug/ftdetect/pug.vim
062.471  000.040  000.040: sourcing /home/arden/.config/nvim/Plugged/vim-puppet/ftdetect/puppet.vim
062.531  000.026  000.026: sourcing /home/arden/.config/nvim/Plugged/purescript-vim/ftdetect/purescript.vim
062.596  000.022  000.022: sourcing /home/arden/.config/nvim/Plugged/vim-qml/ftdetect/qml.vim
062.704  000.075  000.075: sourcing /home/arden/.config/nvim/Plugged/nvim-r/ftdetect/r.vim
062.776  000.038  000.038: sourcing /home/arden/.config/nvim/Plugged/vim-racket/ftdetect/racket.vim
062.839  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vim-raml/ftdetect/raml.vim
063.198  000.307  000.307: sourcing /home/arden/.config/nvim/Plugged/vim-ruby/ftdetect/ruby.vim
063.601  000.387  000.387: sourcing /home/arden/.config/nvim/Plugged/vim-ruby/ftdetect/ruby_extra.vim
063.662  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/rust.vim/ftdetect/rust.vim
063.726  000.025  000.025: sourcing /home/arden/.config/nvim/Plugged/vim-sbt/ftdetect/sbt.vim
063.839  000.078  000.078: sourcing /home/arden/.config/nvim/Plugged/vim-scala/ftdetect/scala.vim
063.901  000.027  000.027: sourcing /home/arden/.config/nvim/Plugged/scss-syntax.vim/ftdetect/scss.vim
063.959  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vim-slim/ftdetect/slim.vim
064.017  000.022  000.022: sourcing /home/arden/.config/nvim/Plugged/vim-slime-syntax/ftdetect/slime.vim
064.075  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vim-solidity/ftdetect/solidity.vim
064.160  000.046  000.046: sourcing /home/arden/.config/nvim/Plugged/vim-stylus/ftdetect/stylus.vim
064.240  000.046  000.046: sourcing /home/arden/.config/nvim/Plugged/swift.vim/ftdetect/swift.vim
064.333  000.046  000.046: sourcing /home/arden/.config/nvim/Plugged/vim-sxhkdrc/ftdetect/sxhkdrc.vim
064.517  000.148  000.148: sourcing /home/arden/.config/nvim/Plugged/systemd-vim-syntax/ftdetect/systemd.vim
064.619  000.059  000.059: sourcing /home/arden/.config/nvim/Plugged/vim-terraform/ftdetect/terraform.vim
064.680  000.026  000.026: sourcing /home/arden/.config/nvim/Plugged/textile.vim/ftdetect/textile.vim
064.738  000.024  000.024: sourcing /home/arden/.config/nvim/Plugged/thrift.vim/ftdetect/thrift.vim
064.797  000.025  000.025: sourcing /home/arden/.config/nvim/Plugged/tmux.vim/ftdetect/tmux.vim
064.910  000.072  000.072: sourcing /home/arden/.config/nvim/Plugged/vim-toml/ftdetect/toml.vim
064.957  000.014  000.014: sourcing /home/arden/.config/nvim/Plugged/vim-twig/ftdetect/twig.vim
065.094  000.101  000.101: sourcing /home/arden/.config/nvim/Plugged/typescript-vim/ftdetect/typescript.vim
065.207  000.075  000.075: sourcing /home/arden/.config/nvim/Plugged/vala.vim/ftdetect/vala.vim
065.276  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vcl-vim-plugin/ftdetect/vcl.vim
065.343  000.026  000.026: sourcing /home/arden/.config/nvim/Plugged/vifm.vim/ftdetect/vifm-rename.vim
065.399  000.041  000.041: sourcing /home/arden/.config/nvim/Plugged/vifm.vim/ftdetect/vifm.vim
065.465  000.023  000.023: sourcing /home/arden/.config/nvim/Plugged/vim-velocity/ftdetect/velocity.vim
065.524  000.024  000.024: sourcing /home/arden/.config/nvim/Plugged/vim-vue/ftdetect/vue.vim
065.837  000.044  000.044: sourcing /home/arden/.config/nvim/Plugged/rspec.vim/after/ftdetect/rspec.vim
065.965  021.854  016.454: sourcing /usr/share/nvim/runtime/filetype.vim
